,Job_Title,Queried_Salary,Job_Type,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
35,Machine Learning Intern (Summer 2019),<80000,data_scientist,"['Splunk', 'Data Mining', 'Machine Learning', 'Data Science']",Splunk,30.0,4.300000190734863,30.0,,Less than 10000,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Data Scientist (Research Director),<80000,data_scientist,['Grant Writing'],Southern Methodist University,126.0,4.199999809265137,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Machine Learning Scientist II,<80000,data_scientist,"['Natural Language Processing', 'Hive', 'Spark', 'Microsoft Powerpoint', 'Machine Learning', 'Hadoop', 'MATLAB', 'Python']",Microsoft,5178.0,4.199999809265137,5.0,More than $10B (USD),10000+,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
38,DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),<80000,data_scientist,"['Data Mining', 'Statisical Analysis', 'Qualitative Research']",Duke University and Duke University Health System,191.0,4.0,16.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39,"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",<80000,data_scientist,"['Java', 'R', 'SAS', 'Python', 'SQL', 'Tableau']",Duke University and Duke University Health System,191.0,4.0,16.0,,,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,"Senior Data Scientist, Supply Chain",<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Microsoft SQL Server', 'Machine Learning', 'Visual Basic', 'R', 'SQL', '.Net', 'C#', 'Python']",Coyote Logistics,165.0,3.5999999046325684,30.0,,Less than 10000,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,Machine Learning,<80000,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop']",Twitter,63.0,3.9000000953674316,30.0,$1B to $5B (USD),Less than 10000,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Temporary Content Developer - Machine Learning,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Python']",iD Tech,39.0,4.5,1.0,,,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Machine Learning,<80000,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop']",Twitter,63.0,3.9000000953674316,30.0,$1B to $5B (USD),Less than 10000,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Computer Vision Scientist (Machine Learning),<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Image Processing', 'C/C++']",Canvas Technology,,,30.0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,FamilySearch Machine Learning Annotation Specialist,<80000,data_scientist,"['Machine Learning', 'Microsoft Powerpoint', 'Microsoft Office']",The Church of Jesus Christ of Latter-day Saints,1324.0,4.800000190734863,1.0,,10000+,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,Machine Learning Research Scientist - Optics & Photonics Lab,<80000,data_scientist,"['.Net', 'C#', 'Machine Learning', 'Software Development', 'MATLAB', 'Image Processing', 'Signal Processing', 'Python', 'C/C++']",Riverside Research,15.0,3.700000047683716,30.0,Less than $1B (USD),Less than 10000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
