Index,Job_Title,Queried_Salary,Job_Type,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
37,Machine Learning Scientist II,<80000,data_scientist,Microsoft,5178.0,4.199999809265137,5.0,More than $10B (USD),10000+,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
38,DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),<80000,data_scientist,Duke University and Duke University Health System,191.0,4.0,16.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39,"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",<80000,data_scientist,Duke University and Duke University Health System,191.0,4.0,16.0,,,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,"Senior Data Scientist, Supply Chain",<80000,data_scientist,Coyote Logistics,165.0,3.5999999046325684,30.0,,Less than 10000,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,Machine Learning,<80000,data_scientist,Twitter,63.0,3.9000000953674316,30.0,$1B to $5B (USD),Less than 10000,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Temporary Content Developer - Machine Learning,<80000,data_scientist,iD Tech,39.0,4.5,1.0,,,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Machine Learning,<80000,data_scientist,Twitter,63.0,3.9000000953674316,30.0,$1B to $5B (USD),Less than 10000,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Computer Vision Scientist (Machine Learning),<80000,data_scientist,Canvas Technology,,,30.0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,FamilySearch Machine Learning Annotation Specialist,<80000,data_scientist,The Church of Jesus Christ of Latter-day Saints,1324.0,4.800000190734863,1.0,,10000+,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,Machine Learning Research Scientist - Optics & Photonics Lab,<80000,data_scientist,Riverside Research,15.0,3.700000047683716,30.0,Less than $1B (USD),Less than 10000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
47,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,<80000,data_scientist,OpenAI,,,18.0,,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Entry-Level Data Scientist,80000-99999,data_scientist,IBM,23472.0,3.9000000953674316,1.0,,10000+,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
49,Trainee as Data Scientist (January to June 2019),80000-99999,data_scientist,Asendia Management SAS,,,5.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,Data Scientist,80000-99999,data_scientist,T-Mobile,8595.0,4.0,1.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,Data Scientist-Tchnlgy,80000-99999,data_scientist,Walmart,157456.0,3.5999999046325684,1.0,More than $10B (USD),10000+,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,Data Scientist,80000-99999,data_scientist,UES,11.0,4.400000095367432,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Data Scientist,80000-99999,data_scientist,"NextEra Energy, Inc.",248.0,3.799999952316284,3.0,$1B to $5B (USD),10000+,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
54,Data Scientist - Life Sciences,80000-99999,data_scientist,Argonne National Laboratory,156.0,4.300000190734863,7.0,,10000+,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
